Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),ZONE_0:Zone Mean Radiant Temperature [C](Hourly),ZONE_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE_0:Zone Mean Air Temperature [C](Hourly),ZONE_0:Zone Operative Temperature [C](Hourly),ZONE_0:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE_0:Zone Infiltration Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Infiltration Air Change Rate [ach](Hourly),ZONE_0:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Ventilation Air Change Rate [ach](Hourly),ZONE_0:Zone Air Temperature [C](Hourly),ZONE_0:Zone Air Humidity Ratio [](Hourly),ZONE_0:Zone Air Relative Humidity [%](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZONE_0:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ZONE_0:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly) 
 08/11  06:00:00,16.409999999999997,0.010824032929745094,92.0,22.624156554425902,38373.999800787176,20.726820954621093,21.6754887545235,0.010909570690004436,0.007916436711873066,0.10150570865248838,0.19467501072492538,2.491041829339084,20.726820954621093,0.010909570690004436,70.8707765601486,0.0,22.993763888888886,0.0,0.0,0.0,0.0,385673.2212693911,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/11  07:00:00,16.994999999999997,0.011035741425737605,90.35,22.624904645264387,497399.10875332635,21.059712746089257,21.842308695676824,0.011032474803101702,0.007897839680466834,0.10140169784046471,0.1826075254360095,2.3403924414203225,21.059712746089257,0.011032474803101702,70.17123357778766,0.1,22.993763888888886,0.0,0.0,0.0,3523.2814245140953,224116.27492514692,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/11  08:00:00,18.335,0.011471326410693082,86.25,22.740108672675426,872832.2535475743,21.416627234389203,22.078367953532315,0.011329598220164546,0.007856144603612704,0.1010359491205286,0.15475163995714392,1.9889818413654605,21.416627234389203,0.011329598220164546,70.41015984095557,0.1,22.993763888888886,0.0,0.0,0.0,14799.777624234592,96579.81552261238,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/11  09:00:00,20.310000000000006,0.011977555439488618,79.6,22.958816400090598,951351.8169046914,21.998075277470903,22.478445838780747,0.011840507869317722,0.007797054671756928,0.10055495882694843,0.1994847489112125,2.5725128718118633,21.998075277470903,0.011840507869317722,70.92301084975762,0.7,22.993763888888886,0.2,0.0,0.0,15033.119571511257,51308.16200606563,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/11  10:00:00,22.675000000000004,0.012460882598402426,71.6,23.393119636683423,1382869.988149392,23.51698631123743,23.455052973960427,0.012190716337859678,0.007728838151679547,0.10024325330900039,0.0,0.0,23.51698631123743,0.012190716337859678,66.58032682655438,1.0,22.993763888888886,0.9999999999999999,0.0,0.0,23382.739220767202,21365.56346938509,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/11  11:00:00,25.175000000000004,0.012869256387254682,63.6,24.022555258823868,1786810.9299346968,24.74504569693963,24.38380047788175,0.012494729926131449,0.007659136072869152,0.09979839145821014,0.0,0.0,24.74504569693963,0.012494729926131449,63.344230280482996,1.0,22.993763888888886,0.9999999999999999,0.0,0.0,86307.06272145631,335.9129295438673,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/11  12:00:00,27.51,0.013044130207779166,56.15,24.65987089919689,1957181.7119188027,25.671037051380114,25.165453975288507,0.012913643762598504,0.00759754716809771,0.0993692536225266,0.0,0.0,25.671037051380114,0.012913643762598504,61.91371673817664,1.0,22.993763888888886,0.9999999999999999,0.0,0.0,194962.262264721,246.44840222358226,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/11  13:00:00,29.434999999999995,0.013057915461319996,50.25,25.20099593538471,1859376.5540201457,26.204441553714105,25.702718744549408,0.01325288056873113,0.007549034146220425,0.09896396471490068,0.0,0.0,26.204441553714105,0.01325288056873113,61.53327591093163,1.0,22.993763888888886,0.9999999999999999,0.0,0.0,180772.04456280984,23260.73109438908,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/11  14:00:00,30.75,0.012831646075870473,45.8,25.638456358594105,1700871.9320165936,26.5902452024519,26.114350780523,0.013421184382996392,0.007519033827948896,0.09872390894829107,0.0,0.0,26.5902452024519,0.013421184382996392,60.897703453698625,1.0,22.993763888888886,0.9999999999999999,0.0,0.0,136180.71535464659,46794.71936333741,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/11  15:00:00,31.365,0.012606124575639555,43.45,26.019700075481314,1519339.252707775,26.979703039007187,26.499701557244254,0.013472412667800766,0.007506509794169167,0.09869550596837955,0.0,0.0,26.979703039007187,0.013472412667800766,59.74149870055091,1.0,22.993763888888886,0.9999999999999999,0.0,0.0,143598.98329754884,69630.19975159978,0.0,0.0,0.0,0.0,0.00875686092001977 
