Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),ZONE_0:Zone Mean Radiant Temperature [C](Hourly),ZONE_0:Zone Windows Total Transmitted Solar Radiation Energy [J](Hourly),ZONE_0:Zone Mean Air Temperature [C](Hourly),ZONE_0:Zone Operative Temperature [C](Hourly),ZONE_0:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE_0:Zone Infiltration Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Infiltration Air Change Rate [ach](Hourly),ZONE_0:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE_0:Zone Ventilation Air Change Rate [ach](Hourly),ZONE_0:Zone Air Temperature [C](Hourly),ZONE_0:Zone Air Humidity Ratio [](Hourly),ZONE_0:Zone Air Relative Humidity [%](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),PEOPLE ZONE_0:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),ZONE_0:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Outdoor Air Total Cooling Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Heating Energy [J](Hourly),ZONE_0 IDEAL LOADS AIR:Zone Ideal Loads Heat Recovery Total Cooling Energy [J](Hourly),ZONE_0:Zone Mechanical Ventilation Mass Flow Rate [kg/s](Hourly) 
 08/25  05:00:00,18.19,0.012973410115913742,98.20000000000002,23.640675622530438,0.0,21.630976998150278,22.635826310340356,0.012959134406343598,0.007841669099323169,0.10117993919006558,0.24599817656531386,3.170351852138989,21.630976998150278,0.012959134406343598,79.28832627633463,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,14695.34590691042,398820.77638317156,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/25  06:00:00,18.154999999999998,0.013112984176059325,99.45,23.622834292534588,0.0,21.662220228037036,22.64252726028581,0.013195749354008201,0.007840887507187953,0.10121829042178976,0.16767109004660533,2.1624920612563163,21.662220228037036,0.013195749354008201,80.54566982974907,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,127.33882925256182,300634.2809168751,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/25  07:00:00,18.53,0.013218019483451682,97.9,23.64732798606036,313154.8787586992,21.84848716101937,22.747907573539866,0.013243658115270899,0.00782951506650573,0.10114298783947913,0.23762949189254678,3.0669072937049475,21.84848716101937,0.013243658115270899,79.91316671092719,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,1049.5405029406404,187097.18898901602,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/25  08:00:00,19.405,0.013361998719085225,93.69999999999999,23.67151653505677,681857.9057476221,21.946415322527294,22.80896592879203,0.013377842857351076,0.007804334634218725,0.10087247173340838,0.267441365806114,3.4546873806119947,21.946415322527294,0.013377842857351076,80.20722747277338,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,128.43020967413466,82828.20369862152,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/25  09:00:00,20.725,0.013575687228167635,87.69999999999999,23.688695174233015,618915.8104724544,22.275930817176164,22.98231299570459,0.01354538811591138,0.007766676548559606,0.10052423004964198,0.34015540028406216,4.401817136291416,22.275930817176164,0.01354538811591138,79.56813296859855,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,4624.484512936437,47391.60726561042,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/25  10:00:00,22.335,0.01376976800598704,80.6,23.758243241935027,826421.7409099058,23.455844106032036,23.60704367398353,0.013787532788642698,0.0077220029064826974,0.10038324445359867,0.08447691942230143,1.0961456111828836,23.455844106032036,0.013787532788642698,75.39653325652117,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,1090.6321129586393,32771.92541437306,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/25  11:00:00,24.035000000000004,0.013743526036285463,72.6,23.834907866619883,911312.6334528457,24.60758295298901,24.221245409804443,0.013971802473419514,0.007678145644144688,0.1002299123581766,0.0,0.0,24.60758295298901,0.013971802473419514,71.25241122609867,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,174.14881203602118,56878.90228722619,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/25  12:00:00,25.625,0.013557812837504337,65.15,23.893949538724897,971540.9363018447,24.94762161641607,24.42078557757048,0.014145613789151227,0.007639510619964607,0.09986680207320846,0.0,0.0,24.94762161641607,0.014145613789151227,70.66833790113938,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,58098.34436655481,117321.89997333213,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/25  13:00:00,26.905,0.013295222689643463,59.25,23.90141793837796,659363.4382024478,24.91644306459499,24.408930501486473,0.014211891671575053,0.00761005822710159,0.09948179323053748,0.0,0.0,24.91644306459499,0.014211891671575053,71.12459925919288,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,109444.52316904401,125512.6589789628,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/25  14:00:00,27.785000000000004,0.013074731846855037,55.35,23.92725669034145,699208.5030990939,24.869320665389083,24.39828867786527,0.014182853371669002,0.007590434460815587,0.0992050411142723,0.0,0.0,24.869320665389083,0.014182853371669002,71.18210968069184,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,94710.41414151972,89591.66651211548,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/25  15:00:00,28.21,0.012941224929840142,53.45,23.973305833633624,913035.4917465337,24.920821518361,24.44706367599731,0.014119834566948911,0.007581320774001118,0.09909323093165412,0.0,0.0,24.920821518361,0.014119834566948911,70.65553547432407,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,107110.30996447473,95419.59179929024,0.0,0.0,0.0,0.0,0.00875686092001977 
 08/25  16:00:00,28.080000000000002,0.012866126548438522,53.55,23.992244502168667,716666.6755472289,25.147982876513076,24.570113689340875,0.01405034463377254,0.007585490804919687,0.09921246423955404,0.0,0.0,25.147982876513076,0.01405034463377254,69.37074942182332,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,163843.16767186698,163412.42428100543,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/25  17:00:00,27.46,0.013023758507426158,56.2,23.988057223940324,396465.138460419,25.108845979786906,24.548451601863615,0.01414721707944902,0.007599251515606189,0.09939453341601073,0.0,0.0,25.108845979786906,0.01414721707944902,70.00120458975933,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 08/25  18:00:00,26.385,0.013339993226047234,61.3,23.984785622849333,194213.8980324832,25.13645336412875,24.560619493489042,0.014273794852815136,0.007622735553245212,0.09973076359794479,0.0,0.0,25.13645336412875,0.014273794852815136,70.49673865848902,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,103662.59801978615,190697.5652540615,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/25  19:00:00,24.919999999999998,0.013650262436203795,68.4,23.98215087353765,51121.73988833866,25.031009282079214,24.50658007780843,0.014332887262141932,0.007656468141870096,0.100145971173525,0.0,0.0,25.031009282079214,0.014332887262141932,71.22869106627425,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,10152.840347959438,158127.8775586708,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/25  20:00:00,23.485,0.013795244637928139,75.29999999999998,23.97033764392205,2487.317786913306,24.348037328394852,24.159187486158448,0.014152356400409924,0.007691748305665648,0.10034837599249162,0.2016559407047341,2.6286029463392673,24.348037328394852,0.014152356400409924,73.28315717078144,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,0.0,163849.917170319,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/25  21:00:00,22.295,0.013765636241337736,80.75,23.92883642385365,0.0,23.24276032546038,23.585798374657017,0.01387416070798921,0.0077230862574915165,0.10033902982756618,0.3278433888250975,4.258063810462816,23.24276032546038,0.01387416070798921,76.82401070696964,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,0.0,152627.32360269953,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/25  22:00:00,21.360000000000003,0.013628212953136955,84.65,23.881599111142492,0.0,22.525651441706493,23.203625276424493,0.013718415726357219,0.007749276758504392,0.1004111698517908,0.44091484588437335,5.7130421976241195,22.525651441706493,0.013718415726357219,79.34475275957577,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,0.0,170244.28013891625,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/25  23:00:00,20.67,0.01352305692807646,87.65,23.835186055970002,0.0,22.107536778812012,22.971361417391,0.013590459393189504,0.007768757903977769,0.1005010565657977,0.4369951104044311,5.652775095885075,22.107536778812012,0.013590459393189504,80.6473629104063,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,0.0,188948.669603538,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/25  24:00:00,20.124999999999996,0.013523102341006312,90.65,23.80253047486016,0.0,22.059078081863873,22.930804278362018,0.013595798130139659,0.007783193436113807,0.10067213059909126,0.2841570374841227,3.6742118923742972,22.059078081863873,0.013595798130139659,80.9173645093225,1.0,22.065680555555556,0.9999999999999999,0.0,0.0,0.0,238652.42936986353,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/26  01:00:00,19.57,0.013095047155904932,90.9,23.771242352916424,0.0,21.993400688108714,22.88232152051257,0.013367080919063728,0.00780321014294798,0.10087224768284946,0.2597157411092138,3.3556935911038637,21.993400688108714,0.013367080919063728,79.90691397184393,1.0,22.124,0.9999999999999999,0.0,0.0,0.0,372781.6892863273,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/26  02:00:00,19.025,0.012364954561589087,88.9,23.733741231687382,0.0,21.85456115805696,22.794151194872175,0.012680978138964164,0.007826762002084793,0.10101988872771409,0.21468428740724582,2.7688431221245025,21.85456115805696,0.012680978138964164,76.53170871732317,1.0,22.124,0.9999999999999999,0.0,0.0,0.0,427961.8755844991,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/26  03:00:00,18.525,0.011777580522407861,87.45000000000002,23.69392421178767,0.0,21.65897516237245,22.67644968708006,0.0120511726922012,0.007847444854237613,0.10111927160018416,0.23004955496379517,2.962127223542213,21.65897516237245,0.0120511726922012,73.69326780521872,1.0,22.124,0.7,0.0,0.0,0.0,454373.0925611261,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/26  04:00:00,17.97,0.011162456775164895,85.9,23.662467535660788,0.0,21.572720263164054,22.617593899412423,0.011494051309879806,0.00787004604399894,0.10129171468234577,0.2537679968685862,3.261346772630096,21.572720263164054,0.011494051309879806,70.72571256868896,1.0,22.124,0.0,0.0,0.0,0.0,530760.1177277687,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/26  05:00:00,17.425,0.010593119312720067,84.45,23.61036746000836,0.0,21.22344153318877,22.416904496598566,0.010859373583034366,0.007891901893021101,0.10135100939433661,0.17675380261767262,2.26708135092312,21.22344153318877,0.010859373583034366,68.3402225544974,0.9,22.124,0.0,0.0,0.0,0.0,519742.4547842606,0.0,0.0,0.0,0.0,0.0308486581158861 
 08/26  06:00:00,17.255,0.010351023968159182,83.45,23.59211239507136,0.0,21.351521054648423,22.471816724859895,0.010496415496266365,0.007899542002005466,0.10143508558026318,0.27116953707750613,3.4765743199434063,21.351521054648423,0.010496415496266365,65.59458407771513,0.8,22.124,0.0,0.0,0.0,0.0,373206.9164495747,0.0,0.0,0.0,0.0,0.0222905249418191 
 08/26  07:00:00,17.740000000000002,0.010404711799391245,81.35,23.608656509872084,427362.4157156676,21.51750861950962,22.56308256469085,0.010442786115319527,0.00788570673817367,0.10130586775115655,0.174656603289042,2.2417140325985847,21.51750861950962,0.010442786115319527,64.59783533331489,1.0,22.124,0.0,0.0,0.0,0.0,207374.31315517545,0.0,0.0,0.0,0.0,0.014926592543196986 
 08/26  08:00:00,18.815000000000005,0.01057147605919824,77.25,23.670449864046525,963510.7319560755,21.923815767682044,22.797132815864284,0.010567955277454518,0.007854608709170884,0.10106553151898161,0.22945501441719052,2.950027178411889,21.923815767682044,0.010567955277454518,63.73950538060772,1.0,22.124,0.0,0.0,0.0,1497.499616043962,100067.63159779606,0.0,0.0,0.0,0.0,0.00875686092001977 
